T(K)        G9/(RT)
1.30000e+03 -2.58250798e+01
1.32362e+03 -2.57888576e+01
1.34724e+03 -2.57538091e+01
1.37085e+03 -2.57198601e+01
1.39447e+03 -2.56869428e+01
1.41809e+03 -2.56549952e+01
1.44171e+03 -2.56239604e+01
1.46533e+03 -2.55937860e+01
1.48894e+03 -2.55644241e+01
1.51256e+03 -2.55358303e+01
1.53618e+03 -2.55079635e+01
1.55980e+03 -2.54807861e+01
1.58342e+03 -2.54542629e+01
1.60704e+03 -2.54283615e+01
1.63065e+03 -2.54030515e+01
1.65427e+03 -2.53783051e+01
1.67789e+03 -2.53540959e+01
1.70151e+03 -2.53303996e+01
1.72513e+03 -2.53071935e+01
1.74874e+03 -2.52844561e+01
1.77236e+03 -2.52621677e+01
1.79598e+03 -2.52403094e+01
1.81960e+03 -2.52188637e+01
1.84322e+03 -2.51978141e+01
1.86683e+03 -2.51771452e+01
1.89045e+03 -2.51568422e+01
1.91407e+03 -2.51368915e+01
1.93769e+03 -2.51172799e+01
1.96131e+03 -2.50979953e+01
1.98492e+03 -2.50790261e+01
2.00854e+03 -2.50603611e+01
2.03216e+03 -2.50419899e+01
2.05578e+03 -2.50239027e+01
2.07940e+03 -2.50060902e+01
2.10302e+03 -2.49885432e+01
2.12663e+03 -2.49712534e+01
2.15025e+03 -2.49542127e+01
2.17387e+03 -2.49374133e+01
2.19749e+03 -2.49208479e+01
2.22111e+03 -2.49045094e+01
2.24472e+03 -2.48883913e+01
2.26834e+03 -2.48724870e+01
2.29196e+03 -2.48567905e+01
2.31558e+03 -2.48412958e+01
2.33920e+03 -2.48259973e+01
2.36281e+03 -2.48108897e+01
2.38643e+03 -2.47959677e+01
2.41005e+03 -2.47812264e+01
2.43367e+03 -2.47666610e+01
2.45729e+03 -2.47522669e+01
2.48090e+03 -2.47380397e+01
2.50452e+03 -2.47239946e+01
2.52814e+03 -2.47100880e+01
2.55176e+03 -2.46963360e+01
2.57538e+03 -2.46827348e+01
2.59899e+03 -2.46692807e+01
2.62261e+03 -2.46559703e+01
2.64623e+03 -2.46428002e+01
2.66985e+03 -2.46297670e+01
2.69347e+03 -2.46168677e+01
2.71709e+03 -2.46040990e+01
2.74070e+03 -2.45914582e+01
2.76432e+03 -2.45789421e+01
2.78794e+03 -2.45665482e+01
2.81156e+03 -2.45542735e+01
2.83518e+03 -2.45421156e+01
2.85879e+03 -2.45300717e+01
2.88241e+03 -2.45181395e+01
2.90603e+03 -2.45063166e+01
2.92965e+03 -2.44946005e+01
2.95327e+03 -2.44829891e+01
2.97688e+03 -2.44714800e+01
3.00050e+03 -2.44600712e+01
3.02412e+03 -2.44487605e+01
3.04774e+03 -2.44375459e+01
3.07136e+03 -2.44264254e+01
3.09497e+03 -2.44153971e+01
3.11859e+03 -2.44044591e+01
3.14221e+03 -2.43936095e+01
3.16583e+03 -2.43828466e+01
3.18945e+03 -2.43721687e+01
3.21307e+03 -2.43615739e+01
3.23668e+03 -2.43510607e+01
3.26030e+03 -2.43406274e+01
3.28392e+03 -2.43302724e+01
3.30754e+03 -2.43199943e+01
3.33116e+03 -2.43097914e+01
3.35477e+03 -2.42996623e+01
3.37839e+03 -2.42896055e+01
3.40201e+03 -2.42796197e+01
3.42563e+03 -2.42697034e+01
3.44925e+03 -2.42598553e+01
3.47286e+03 -2.42500740e+01
3.49648e+03 -2.42403583e+01
3.52010e+03 -2.42307069e+01
3.54372e+03 -2.42211185e+01
3.56734e+03 -2.42115919e+01
3.59095e+03 -2.42021259e+01
3.61457e+03 -2.41927193e+01
3.63819e+03 -2.41833710e+01
3.66181e+03 -2.41740798e+01
3.68543e+03 -2.41648446e+01
3.70905e+03 -2.41556643e+01
3.73266e+03 -2.41465378e+01
3.75628e+03 -2.41374641e+01
3.77990e+03 -2.41284421e+01
3.80352e+03 -2.41194708e+01
3.82714e+03 -2.41105492e+01
3.85075e+03 -2.41016763e+01
3.87437e+03 -2.40928510e+01
3.89799e+03 -2.40840726e+01
3.92161e+03 -2.40753399e+01
3.94523e+03 -2.40666521e+01
3.96884e+03 -2.40580082e+01
3.99246e+03 -2.40494074e+01
