T(K)        G18/(RT)
1.30000e+03 1.48861094e+01
1.32362e+03 1.48775250e+01
1.34724e+03 1.48692416e+01
1.37085e+03 1.48612437e+01
1.39447e+03 1.48535167e+01
1.41809e+03 1.48460470e+01
1.44171e+03 1.48388221e+01
1.46533e+03 1.48318301e+01
1.48894e+03 1.48250599e+01
1.51256e+03 1.48185011e+01
1.53618e+03 1.48121440e+01
1.55980e+03 1.48059795e+01
1.58342e+03 1.47999988e+01
1.60704e+03 1.47941939e+01
1.63065e+03 1.47885572e+01
1.65427e+03 1.47830814e+01
1.67789e+03 1.47777598e+01
1.70151e+03 1.47725859e+01
1.72513e+03 1.47675537e+01
1.74874e+03 1.47626574e+01
1.77236e+03 1.47578916e+01
1.79598e+03 1.47532512e+01
1.81960e+03 1.47487312e+01
1.84322e+03 1.47443270e+01
1.86683e+03 1.47400343e+01
1.89045e+03 1.47358489e+01
1.91407e+03 1.47317667e+01
1.93769e+03 1.47277841e+01
1.96131e+03 1.47238973e+01
1.98492e+03 1.47201031e+01
2.00854e+03 1.47163981e+01
2.03216e+03 1.47127792e+01
2.05578e+03 1.47092435e+01
2.07940e+03 1.47057880e+01
2.10302e+03 1.47024102e+01
2.12663e+03 1.46991075e+01
2.15025e+03 1.46958773e+01
2.17387e+03 1.46927172e+01
2.19749e+03 1.46896251e+01
2.22111e+03 1.46865988e+01
2.24472e+03 1.46836361e+01
2.26834e+03 1.46807351e+01
2.29196e+03 1.46778940e+01
2.31558e+03 1.46751107e+01
2.33920e+03 1.46723837e+01
2.36281e+03 1.46697112e+01
2.38643e+03 1.46670916e+01
2.41005e+03 1.46645234e+01
2.43367e+03 1.46620050e+01
2.45729e+03 1.46595350e+01
2.48090e+03 1.46571120e+01
2.50452e+03 1.46547347e+01
2.52814e+03 1.46524019e+01
2.55176e+03 1.46501122e+01
2.57538e+03 1.46478645e+01
2.59899e+03 1.46456577e+01
2.62261e+03 1.46434906e+01
2.64623e+03 1.46413622e+01
2.66985e+03 1.46392715e+01
2.69347e+03 1.46372174e+01
2.71709e+03 1.46351991e+01
2.74070e+03 1.46332155e+01
2.76432e+03 1.46312658e+01
2.78794e+03 1.46293492e+01
2.81156e+03 1.46274647e+01
2.83518e+03 1.46256117e+01
2.85879e+03 1.46237892e+01
2.88241e+03 1.46219967e+01
2.90603e+03 1.46202332e+01
2.92965e+03 1.46184982e+01
2.95327e+03 1.46167910e+01
2.97688e+03 1.46151108e+01
3.00050e+03 1.46134571e+01
3.02412e+03 1.46118293e+01
3.04774e+03 1.46102266e+01
3.07136e+03 1.46086486e+01
3.09497e+03 1.46070947e+01
3.11859e+03 1.46055643e+01
3.14221e+03 1.46040570e+01
3.16583e+03 1.46025721e+01
3.18945e+03 1.46011092e+01
3.21307e+03 1.45996678e+01
3.23668e+03 1.45982475e+01
3.26030e+03 1.45968477e+01
3.28392e+03 1.45954681e+01
3.30754e+03 1.45941081e+01
3.33116e+03 1.45927675e+01
3.35477e+03 1.45914457e+01
3.37839e+03 1.45901424e+01
3.40201e+03 1.45888572e+01
3.42563e+03 1.45875898e+01
3.44925e+03 1.45863397e+01
3.47286e+03 1.45851065e+01
3.49648e+03 1.45838901e+01
3.52010e+03 1.45826900e+01
3.54372e+03 1.45815058e+01
3.56734e+03 1.45803374e+01
3.59095e+03 1.45791843e+01
3.61457e+03 1.45780463e+01
3.63819e+03 1.45769230e+01
3.66181e+03 1.45758143e+01
3.68543e+03 1.45747198e+01
3.70905e+03 1.45736392e+01
3.73266e+03 1.45725722e+01
3.75628e+03 1.45715187e+01
3.77990e+03 1.45704784e+01
3.80352e+03 1.45694510e+01
3.82714e+03 1.45684362e+01
3.85075e+03 1.45674339e+01
3.87437e+03 1.45664439e+01
3.89799e+03 1.45654658e+01
3.92161e+03 1.45644995e+01
3.94523e+03 1.45635448e+01
3.96884e+03 1.45626014e+01
3.99246e+03 1.45616692e+01
4.01608e+03 1.45607480e+01
4.03970e+03 1.45598375e+01
4.06332e+03 1.45589376e+01
4.08693e+03 1.45580482e+01
4.11055e+03 1.45571689e+01
4.13417e+03 1.45562997e+01
4.15779e+03 1.45554404e+01
4.18141e+03 1.45545907e+01
4.20503e+03 1.45537506e+01
4.22864e+03 1.45529199e+01
4.25226e+03 1.45520985e+01
4.27588e+03 1.45512861e+01
4.29950e+03 1.45504826e+01
4.32312e+03 1.45496879e+01
4.34673e+03 1.45489019e+01
4.37035e+03 1.45481243e+01
4.39397e+03 1.45473551e+01
4.41759e+03 1.45465941e+01
4.44121e+03 1.45458412e+01
4.46482e+03 1.45450963e+01
4.48844e+03 1.45443592e+01
4.51206e+03 1.45436299e+01
4.53568e+03 1.45429081e+01
4.55930e+03 1.45421938e+01
4.58291e+03 1.45414869e+01
4.60653e+03 1.45407872e+01
4.63015e+03 1.45400947e+01
4.65377e+03 1.45394092e+01
4.67739e+03 1.45387306e+01
4.70101e+03 1.45380588e+01
4.72462e+03 1.45373937e+01
4.74824e+03 1.45367353e+01
4.77186e+03 1.45360834e+01
4.79548e+03 1.45354379e+01
4.81910e+03 1.45347987e+01
4.84271e+03 1.45341658e+01
4.86633e+03 1.45335390e+01
4.88995e+03 1.45329183e+01
4.91357e+03 1.45323035e+01
4.93719e+03 1.45316946e+01
4.96080e+03 1.45310915e+01
4.98442e+03 1.45304941e+01
5.00804e+03 1.45299024e+01
5.03166e+03 1.45293162e+01
5.05528e+03 1.45287355e+01
5.07889e+03 1.45281602e+01
5.10251e+03 1.45275902e+01
5.12613e+03 1.45270255e+01
5.14975e+03 1.45264659e+01
